x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,nRoi,Avg_Intens,Avg_Area,Avg_Std,Avg_Mode,Avg_Feret,Avg_Median,Avg_Skewness,Avg_Kurtosis
-3.331625,3.7260563,62626_1104_E10_3,19,Centrosome,LMF2,ENSG00000100258,U-2 OS , 13 , 7.2741 , 7545.6154 , 7.3176 , 0 , 287.4406 , 5.6154 , 2.6555 , 15.4238
-3.5622838,3.9086263,62290_1318_C4_3,19,Centrosome,AMN1,ENSG00000151743,A549 , 13 , 6.106 , 4772 , 6.9706 , 0 , 176.5323 , 4.3077 , 2.1889 , 8.8149
-3.8419986,-4.2541604,62290_1318_C4_2,19,Centrosome,AMN1,ENSG00000151743,A549 , 22 , 4.3767 , 5661.3182 , 5.3478 , 0 , 210.8754 , 3 , 2.655 , 15.2654
-3.422594,4.270922,62290_1170_A5_7,19,Centrosome,AMN1,ENSG00000151743,RH-30 , 28 , 3.7802 , 6895.1071 , 5.2041 , 0 , 255.7046 , 2 , 2.5904 , 16.5275
-3.5310102,4.204112,62290_1170_A5_4,19,Centrosome,AMN1,ENSG00000151743,RH-30 , 28 , 3.8237 , 7669 , 5.5994 , 0 , 286.2008 , 1.9643 , 3.1039 , 22.2069
-3.4348798,3.92856,62290_1141_A5_2,19,Centrosome,AMN1,ENSG00000151743,U-2 OS , 11 , 2.9807 , 7638.1818 , 4.1902 , 0 , 295.2979 , 1.4545 , 2.5212 , 12.5812
-3.4295356,3.950635,62290_1141_A5_1,19,Centrosome,AMN1,ENSG00000151743,U-2 OS , 17 , 3.1256 , 7380.5294 , 4.392 , 0 , 290.9484 , 1.5294 , 2.9685 , 25.9532
-3.155798,3.8873975,62743_1191_D9_1,19,Centrosome,FNTB,ENSG00000257365,U-2 OS , 12 , 15.2229 , 7240.25 , 10.5132 , 5.8333 , 280.6598 , 13.4167 , 1.2414 , 2.8313
-3.1970127,3.9984088,62743_1191_D9_2,19,Centrosome,FNTB,ENSG00000257365,U-2 OS , 12 , 14.7757 , 7014.5 , 10.2207 , 6.75 , 281.4782 , 13.1667 , 1.4685 , 7.9507
-3.6924918,3.0067515,63368_1233_H4_2,19,Centrosome,UBE2Q1,ENSG00000160714,SH-SY5Y , 33 , 15.4163 , 6583.2424 , 15.5939 , 2.5758 , 239.9859 , 11.5152 , 3.1031 , 17.5018
-3.5970151,3.7511978,63368_1233_H4_6,19,Centrosome,UBE2Q1,ENSG00000160714,SH-SY5Y , 29 , 14.419 , 4899.6207 , 14.9227 , 0.8276 , 198.9833 , 10.6552 , 3.0209 , 17.0463
-3.6797287,4.127872,64397_1156_A9_1,19,Centrosome,CEP290,ENSG00000198707,U-2 OS , 20 , 4.2322 , 6703.75 , 6.0934 , 0 , 260.5757 , 2.35 , 3.373 , 24.1961
-3.5164561,4.180809,64397_1152_A9_3,19,Centrosome,CEP290,ENSG00000198707,RH-30 , 13 , 5.8702 , 6952.7692 , 9.3385 , 0 , 254.4655 , 3.4615 , 3.1424 , 17.2629
-3.6862533,4.1595993,64397_1152_A9_1,19,Centrosome,CEP290,ENSG00000198707,RH-30 , 16 , 4.0975 , 6772.8125 , 4.9418 , 0 , 243.205 , 2.6875 , 2.0585 , 6.7779
-3.5373795,3.9363759,64246_1169_D12_3,19,Centrosome,FBXO9,ENSG00000112146,SiHa , 32 , 17.5548 , 5832.8438 , 13.3629 , 6.8125 , 226.7819 , 15.125 , 1.9961 , 8.8895
-3.6460583,4.1012692,64246_1169_D12_2,19,Centrosome,FBXO9,ENSG00000112146,SiHa , 37 , 16.9256 , 5597.8649 , 13.332 , 3.1081 , 212.925 , 14.5405 , 1.6153 , 5.2472
-3.3313942,3.887891,63704_1178_A11_5,19,Centrosome,CETN3,ENSG00000153140,SiHa , 14 , 5.7528 , 6944.2857 , 7.4529 , 0 , 287.7217 , 3.3571 , 2.2677 , 10.6624
-3.509672,4.1737604,63704_1178_A11_2,19,Centrosome,CETN3,ENSG00000153140,SiHa , 13 , 5.7793 , 6405.6923 , 7.9082 , 0 , 275.3684 , 3.1538 , 2.9267 , 18.6981
-3.446348,3.9941328,63704_1156_B2_2,19,Centrosome,CETN3,ENSG00000153140,U-2 OS , 10 , 4.7798 , 7182.7 , 6.407 , 0 , 269.6175 , 2.7 , 2.5372 , 11.5291
-3.4555771,3.9547698,63704_1156_B2_1,19,Centrosome,CETN3,ENSG00000153140,U-2 OS , 6 , 3.7764 , 7981.5 , 5.2355 , 0 , 301.4639 , 1.8333 , 2.2514 , 7.4743
-3.410356,4.1820216,63704_1152_B2_3,19,Centrosome,CETN3,ENSG00000153140,RH-30 , 21 , 6.3436 , 6468.619 , 10.873 , 0 , 237.221 , 3.1905 , 3.7449 , 24.8913
