x,y,id,location_code,location,gene,gene_ensembl_id,cell_line,nRoi,Avg_Intens,Avg_Area,Avg_Std,Avg_Mode,Avg_Feret,Avg_Median,Avg_Skewness,Avg_Kurtosis
7.013007,-1.9325714,63737_1231_A12_4,23,Mitochondria,NDUFB1,ENSG00000183648,MCF7 , 37 , 13.2961 , 6138.6216 , 16.4955 , 0 , 228.5364 , 8.3514 , 2.9807 , 13.8872
7.0425477,-1.8936685,63737_1231_A12_3,23,Mitochondria,NDUFB1,ENSG00000183648,MCF7 , 22 , 11.7503 , 6431.0909 , 16.6648 , 0 , 227.358 , 6.6364 , 3.2892 , 15.3388
7.432583,-1.951382,63735_1232_G11_2,23,Mitochondria,PMPCA,ENSG00000165688,MCF7 , 24 , 14.5853 , 6764.5 , 17.6952 , 0.4167 , 246.409 , 8.9167 , 2.4146 , 8.3004
7.0564256,-1.4998287,63735_1232_G11_1,23,Mitochondria,PMPCA,ENSG00000165688,MCF7 , 12 , 14.2925 , 6683.1667 , 16.4269 , 0 , 247.541 , 8.9167 , 2.0261 , 5.528
6.7789,-1.2630476,63735_1199_G11_5,23,Mitochondria,PMPCA,ENSG00000165688,U-2 OS , 17 , 16.1784 , 7580.6471 , 18.1038 , 0.7647 , 300.2763 , 10.8824 , 2.6692 , 10.4652
6.6963916,-1.3436724,63735_1199_G11_4,23,Mitochondria,PMPCA,ENSG00000165688,U-2 OS , 15 , 12.9345 , 7155.0667 , 14.1984 , 0 , 271.7448 , 9.2 , 2.7771 , 12.5799
7.309334,-2.1218076,63716_1231_E10_2,23,Mitochondria,GLRX5,ENSG00000182512,MCF7 , 33 , 21.6584 , 6108.5152 , 29.9172 , 0.6061 , 222.4247 , 11.6667 , 3.1009 , 12.8732
7.3055005,-2.0702162,63716_1231_E10_1,23,Mitochondria,GLRX5,ENSG00000182512,MCF7 , 32 , 16.7816 , 6533.8125 , 22.8016 , 0.375 , 235.7508 , 10.0312 , 3.4981 , 17.8325
6.4134784,-0.9785534,63716_1156_F2_2,23,Mitochondria,GLRX5,ENSG00000182512,U-2 OS , 8 , 9.9688 , 6727.75 , 11.5337 , 0 , 254.93 , 6.25 , 2.0336 , 5.6694
6.3480463,-1.0752608,63716_1156_F2_1,23,Mitochondria,GLRX5,ENSG00000182512,U-2 OS , 15 , 10.6965 , 6505.2 , 14.7317 , 0.1333 , 252.0415 , 6.4 , 3.2072 , 17.2072
